sensor_0_avg,sensor_1_avg,sensor_2_avg,Wind speed (m/s),wind_speed_4_avg,Pitch angle (°),sensor_6_avg,sensor_7_avg,sensor_8_avg,sensor_9_avg,sensor_10_avg,sensor_11_avg,sensor_12_avg,sensor_13_avg,sensor_14_avg,sensor_15_avg,sensor_16_avg,sensor_17_avg,sensor_18_avg,sensor_19_avg,sensor_20_avg,sensor_21_avg,sensor_22_avg,sensor_23_avg,sensor_24_avg,sensor_25_avg,sensor_26_avg,reactive_power_27_avg,reactive_power_28_avg,power_29_avg,power_30_avg,sensor_31_avg,sensor_32_avg,sensor_33_avg,sensor_34_avg,sensor_35_avg,sensor_36_avg,sensor_37_avg,sensor_38_avg,sensor_39_avg,sensor_40_avg,sensor_41_avg,sensor_42_avg,sensor_43_avg,sensor_44,sensor_45,sensor_46,sensor_47,sensor_48,sensor_49,Power (kW),sensor_51,Rotor speed (RPM),sensor_53_avg
17,91.8,-14.2,6.0,5.8,-1.8,26,34,47,34,38,49,41,35,51.0,43,42,43,1336.0,24,26,39,1.0,253.7,288.6,268.6,50.0,0.48697561,-0.48697561,0.151804878,0.151317073,-0.04195122,398.3,395.7,395.7,40,41,41,63,65,58,49,106.1,26,0,51593,0,0,-14334,0,51593,-14334,11.8,18
18,96.3,-9.0,9.8,9.1,-1.6,29,43,104,42,39,61,51,65,81.0,96,92,93,1662.6,37,42,41,1.0,1052.8,1086.5,1061.9,50.1,0.484,-0.487804878,0.617463415,0.617121951,-0.088926829,400.0,397.2,398.6,43,44,44,70,77,72,48,105.3,34,0,210954,0,0,-30384,0,210954,-30384,14.7,21
17,99.4,11.2,4.7,4.2,-0.9,26,41,97,41,38,52,52,52,61.0,64,64,64,1257.2,27,39,38,0.6,100.2,125.9,94.2,50.0,0.202585366,-0.202585366,0.041414634,0.041560976,-0.043121951,400.9,398.6,398.1,39,40,40,61,69,67,44,88.1,30,0,14271,0,0,-14753,0,14271,-14753,11.1,18
17,91.4,-3.4,4.5,4.2,-0.7,26,40,96,40,38,51,48,49,54.0,60,60,61,1252.0,27,38,38,0.6,103.1,129.1,99.3,50.0,0.185512195,-0.185512195,0.039268293,0.039463415,-0.04502439,399.8,397.5,396.7,39,40,40,62,70,66,44,94.8,29,0,13577,0,0,-15400,0,13577,-15400,11.1,18
17,88.7,-5.0,5.0,4.3,-1.1,26,39,93,39,38,48,45,46,44.0,58,58,58,1255.1,26,37,39,0.4,221.4,235.9,233.9,50.0,0.196634146,-0.196634146,0.040146341,0.04004878,-0.014439024,398.1,395.8,394.9,39,41,40,63,71,66,44,93.8,29,0,13669,0,0,-5499,0,13669,-5499,11.1,18
21,302.4,-9.3,6.4,5.9,-1.8,35,37,45,37,38,48,43,36,45.0,39,39,38,1419.8,29,34,39,0.9,284.9,320.4,297.5,50.0,0.473707317,-0.473707317,0.168097561,0.168634146,-0.049268293,400.2,397.7,397.9,40,41,41,65,70,64,52,311.7,31,0,57812,0,0,-16850,0,57812,-16850,12.5,28
23,265.9,-18.2,3.9,3.8,0.1,36,39,73,40,38,47,43,43,59.0,55,54,55,1258.8,30,37,38,0.7,78.0,90.8,74.8,50.0,0.125414634,-0.125414634,0.026682927,0.024292683,-0.027121951,397.4,395.1,394.8,39,40,40,66,71,65,50,284.1,32,-194,8464,0,-222,-9037,0,8270,-9259,11.1,31
23,269.1,-1.3,4.2,4.2,-0.3,37,40,83,41,38,48,44,46,62.0,60,59,60,1253.4,31,39,39,0.8,99.4,113.9,93.7,50.0,0.211463415,-0.211463415,0.045560976,0.043756098,-0.030926829,402.2,399.9,400.0,39,41,40,67,72,66,50,270.4,33,-36,14999,0,-89,-10488,0,14964,-10577,11.1,32
23,248.4,-27.6,4.5,4.3,-0.3,37,41,85,41,38,48,44,46,63.0,61,60,61,1262.8,31,39,39,0.8,103.4,118.9,99.6,50.0,0.218146341,-0.218146341,0.049317073,0.045121951,-0.034097561,402.4,400.2,400.1,39,41,40,67,72,66,50,276.0,33,-98,15450,0,-136,-11498,0,15352,-11634,11.1,32
19,104.2,8.3,5.5,4.9,-1.5,28,33,41,34,35,46,41,30,36.0,37,37,37,1285.4,25,29,37,0.8,162.6,199.9,181.9,50.0,0.402,-0.402,0.082487805,0.082292683,-0.038682927,399.0,396.7,395.9,37,39,38,67,69,63,50,95.9,27,0,28048,0,0,-12855,0,28048,-12855,11.3,21
19,98.2,2.3,6.4,5.7,-2.0,28,34,53,35,39,50,43,37,51.0,46,46,46,1387.7,26,29,39,1.0,219.7,261.2,243.0,50.0,0.487463415,-0.487463415,0.135707317,0.135707317,-0.041804878,402.3,399.7,399.2,40,41,41,67,70,63,49,95.9,28,0,46371,0,0,-14285,0,46371,-14285,12.2,21
21,81.6,-26.2,11.1,10.6,0.0,35,43,107,43,40,63,54,64,81.0,104,98,101,1666.7,38,44,44,1.0,1485.2,1507.4,1481.4,50.0,0.31,-0.40804878,0.861317073,0.86395122,-0.098780488,398.6,396.0,398.3,46,47,46,91,95,88,47,107.8,33,0,294925,0,0,-33731,0,294925,-33731,14.7,28
23,106.7,-13.3,7.5,7.3,-2.0,33,43,101,42,38,61,55,65,81.0,90,87,89,1529.0,39,41,39,0.9,584.2,605.7,569.7,50.1,0.486634146,-0.486634146,0.330634146,0.33004878,-0.087609756,399.6,396.7,398.8,40,42,41,73,79,71,50,120.0,35,0,112482,0,0,-29930,0,112482,-29930,13.5,26
23,111.3,-5.6,8.8,8.4,-1.9,33,44,102,43,38,62,56,64,80.0,90,87,89,1620.8,39,43,40,1.0,872.2,898.9,864.7,50.1,0.480536585,-0.487804878,0.505121951,0.504536585,-0.087609756,398.6,395.7,397.8,41,43,42,72,78,71,50,116.9,36,0,172132,0,0,-29931,0,172132,-29931,14.3,26
18,94.8,-6.4,8.9,8.6,-2.0,29,44,102,44,38,60,56,62,76.0,83,80,82,1639.2,35,43,40,1.0,897.2,931.1,906.9,50.1,0.480097561,-0.487219512,0.525756098,0.525609756,-0.083170732,399.6,396.9,398.4,41,43,42,64,71,64,48,101.1,34,0,179053,0,0,-28406,0,179053,-28406,14.5,20
17,124.0,22.1,6.3,5.7,-1.6,27,43,101,43,38,54,52,58,71.0,73,73,74,1415.8,31,42,39,0.9,284.0,304.2,275.0,50.0,0.40395122,-0.40395122,0.152926829,0.151707317,-0.05804878,398.1,395.5,396.7,39,41,40,61,68,61,46,101.8,32,0,51543,0,0,-19768,0,51543,-19768,12.5,19
17,88.5,-0.7,11.3,10.6,-0.1,28,45,118,44,38,63,52,71,89.0,126,120,123,1676.8,39,47,42,1.0,1505.0,1528.6,1500.6,49.9,0.299170732,-0.41697561,0.874487805,0.875853659,-0.095317073,399.0,396.2,398.5,44,46,45,83,93,93,49,89.2,34,0,298862,0,0,-32564,0,298862,-32564,14.8,20
17,22.9,-78.9,11.2,10.7,0.0,27,42,110,41,38,63,51,64,82.0,111,104,106,1674.1,37,44,42,1.0,1516.9,1534.0,1503.3,50.0,0.28897561,-0.405121951,0.884,0.886146341,-0.09795122,401.6,398.9,401.7,44,46,45,72,82,78,46,101.8,33,0,302767,0,0,-33464,0,302767,-33464,14.8,19
20,157.7,47.4,13.5,13.0,6.3,32,43,115,43,41,64,51,66,86.0,124,115,117,1680.2,40,46,46,1.0,1649.3,1661.6,1632.3,50.0,0.210195122,-0.303170732,0.963463415,0.966487805,-0.106585366,403.2,400.9,403.7,48,50,49,77,86,85,50,110.2,36,0,330186,0,0,-36419,0,330186,-36419,14.8,26
18,151.2,28.7,9.4,9.2,-1.0,26,32,29,33,36,42,35,33,36.0,35,33,33,1634.4,25,28,39,1.0,1046.6,1067.9,1036.7,50.0,0.455073171,-0.474682927,0.631365854,0.609463415,-0.082097561,400.8,398.1,400.7,41,42,42,66,68,63,41,122.5,26,-35,204006,0,44,-27502,0,203971,-27458,14.4,19
18,129.4,6.8,7.7,7.6,-2.0,27,32,38,33,38,55,40,47,51.0,43,41,41,1543.9,27,30,40,1.0,663.2,679.2,649.4,50.0,0.487707317,-0.487804878,0.380439024,0.380634146,-0.083853659,401.0,398.7,400.7,41,42,42,67,69,64,42,122.5,27,0,130418,0,0,-28661,0,130418,-28661,13.6,19
18,111.2,-11.3,7.1,7.0,-2.0,27,33,45,34,38,56,41,50,57.0,47,46,46,1486.7,27,31,39,1.0,511.1,524.4,496.4,50.0,0.487804878,-0.487804878,0.290878049,0.290634146,-0.075121951,401.2,399.0,400.9,40,42,41,68,70,65,42,122.5,28,0,99166,0,0,-25679,0,99166,-25679,13.1,19
18,115.0,-7.4,6.9,6.8,-1.9,27,33,51,35,38,55,42,50,59.0,50,49,49,1478.6,27,32,40,1.0,477.3,494.8,465.8,50.0,0.48697561,-0.48697561,0.271512195,0.271853659,-0.067756098,400.0,397.6,399.4,40,42,41,68,70,65,43,122.5,28,0,93061,0,0,-23153,0,93061,-23153,13.1,19
19,110.5,-4.3,7.6,7.4,-1.6,27,34,57,35,38,54,43,50,61.0,54,53,53,1489.9,27,33,40,0.9,673.4,689.5,660.9,50.0,0.467658537,-0.480487805,0.381707317,0.381902439,-0.07902439,399.2,396.6,398.6,41,43,42,68,71,65,44,114.8,27,0,129863,0,0,-26990,0,129863,-26990,13.1,20
19,114.6,-0.2,8.0,7.9,-2.0,28,34,63,35,38,57,45,53,64.0,61,58,58,1562.2,28,35,40,1.0,722.6,741.4,712.9,50.0,0.486097561,-0.487804878,0.415317073,0.415268293,-0.079853659,398.3,395.8,397.8,41,42,42,69,71,66,44,114.8,27,0,141890,0,0,-27284,0,141890,-27284,13.8,20
19,106.5,-8.3,8.5,8.5,-2.0,28,35,68,36,38,58,47,54,66.0,65,62,63,1600.6,29,36,40,1.0,894.4,914.0,885.4,50.0,0.481463415,-0.487804878,0.515804878,0.517414634,-0.088341463,399.8,397.4,399.5,42,43,43,70,72,67,44,114.8,27,0,177022,0,0,-30163,0,177022,-30163,14.1,20
19,121.5,6.7,8.7,8.7,-1.7,28,35,73,37,39,59,48,56,68.0,70,66,67,1593.9,29,38,41,1.0,957.0,976.0,946.5,50.0,0.44297561,-0.483756098,0.557219512,0.556878049,-0.090878049,402.5,400.2,402.3,42,44,43,71,74,68,45,114.8,27,0,189978,0,0,-31034,0,189978,-31034,14.1,20
19,119.9,5.1,8.6,8.4,-2.0,29,36,77,38,39,59,49,57,69.0,70,67,68,1611.9,30,39,40,1.0,856.0,873.8,844.1,50.0,0.48204878,-0.487804878,0.496487805,0.497463415,-0.093121951,403.0,400.7,403.0,42,43,43,72,75,69,45,114.8,28,0,170093,0,0,-31821,0,170093,-31821,14.2,21
20,144.8,15.6,9.2,8.9,-1.5,30,37,83,40,39,60,51,59,71.0,75,71,72,1616.7,31,40,41,1.0,1011.5,1026.7,999.7,50.0,0.442195122,-0.474146341,0.586292683,0.587219512,-0.09804878,402.2,400.2,402.3,43,44,44,73,76,71,45,129.2,29,0,200304,0,0,-33498,0,200304,-33498,14.3,23
20,128.0,8.6,8.8,8.5,8.8,33,41,105,42,39,63,54,67,84.0,102,98,100,1443.1,37,44,40,1.0,808.8,826.7,802.5,50.0,0.413658537,-0.423317073,0.524439024,0.47102439,-0.057073171,404.1,401.9,403.8,42,43,43,89,92,84,48,119.4,33,-232,161706,0,-569,-19022,0,161474,-19591,12.7,25
19,233.1,1.6,6.3,6.4,-1.8,27,35,41,35,38,49,40,46,45.0,40,40,40,1402.6,26,30,39,1.0,352.5,386.2,369.4,50.0,0.487804878,-0.487804878,0.209658537,0.209317073,-0.055121951,400.9,398.7,398.6,40,41,41,67,69,63,44,231.5,28,0,71332,0,0,-18818,0,71332,-18818,12.4,21
19,238.1,6.5,7.9,7.7,-2.2,28,35,47,35,38,55,43,52,53.0,47,46,46,1590.6,27,31,40,1.0,663.0,698.4,681.0,50.0,0.487804878,-0.487804878,0.393073171,0.392195122,-0.069073171,400.5,398.2,398.7,41,42,42,67,69,63,45,231.5,29,0,133921,0,0,-23601,0,133921,-23601,14.0,21
19,231.5,0.0,7.9,7.5,-2.1,28,35,53,35,38,57,45,54,58.0,53,51,52,1567.9,28,33,39,1.0,622.7,657.3,638.0,50.0,0.487804878,-0.487804878,0.367804878,0.368585366,-0.069707317,401.6,399.4,399.8,41,42,41,67,70,64,45,231.5,28,0,126018,0,0,-23811,0,126018,-23811,13.8,21
19,249.6,8.6,8.1,7.8,-2.1,28,35,59,35,38,57,46,55,60.0,57,55,56,1576.0,28,34,40,1.0,696.4,729.5,711.1,50.0,0.487804878,-0.487804878,0.407756098,0.407902439,-0.080682927,399.5,397.2,397.8,41,42,42,68,71,65,45,241.0,28,0,139828,0,0,-27560,0,139828,-27560,13.9,21
19,234.5,3.7,8.3,8.1,-2.2,29,36,69,37,39,59,49,57,65.0,65,62,63,1619.5,29,36,40,1.0,765.3,802.8,785.9,50.0,0.487804878,-0.487804878,0.451512195,0.452243902,-0.071707317,399.6,397.2,397.6,42,43,43,69,72,66,46,230.8,28,0,154675,0,0,-24510,0,154675,-24510,14.3,22
19,273.4,40.1,7.6,7.3,-2.1,30,36,76,38,39,56,49,54,64.0,65,63,64,1552.4,28,37,40,1.0,563.9,598.6,579.4,50.0,0.487609756,-0.487609756,0.33,0.330146341,-0.070439024,398.7,396.4,396.9,41,42,42,70,73,67,47,233.3,29,0,112805,0,0,-24060,0,112805,-24060,13.7,23
20,187.7,-70.4,6.9,6.8,-1.9,34,41,96,42,38,58,54,55,68.0,68,67,69,1464.4,30,41,39,1.0,453.7,487.9,463.3,50.0,0.487804878,-0.487804878,0.262926829,0.262390244,-0.071170732,398.2,395.6,396.2,40,41,41,74,78,71,47,258.2,32,0,89427,0,0,-24321,0,89427,-24321,12.9,27
15,279.0,7.5,4.6,4.5,-0.4,26,35,60,35,34,44,41,32,35.0,40,40,41,1270.2,22,31,35,0.7,118.1,143.3,128.2,50.0,0.231902439,-0.231902439,0.068292683,0.057658537,-0.030926829,397.7,395.2,394.0,35,36,36,68,71,64,45,271.4,26,-393,19824,0,-579,-10004,0,19431,-10583,11.2,19
16,224.2,-7.6,4.2,4.2,-0.4,26,36,84,37,39,46,42,44,48.0,56,55,57,1252.7,24,35,39,0.5,158.1,179.3,165.2,50.0,0.18497561,-0.18497561,0.037756098,0.037707317,-0.030585366,400.2,397.5,396.7,40,41,41,68,71,63,45,231.9,28,0,12818,0,0,-10141,0,12818,-10141,11.1,18
16,229.7,-5.3,4.2,4.1,-0.4,26,36,85,37,38,46,42,45,48.0,57,56,58,1251.9,24,35,39,0.4,185.7,201.2,198.1,50.0,0.181609756,-0.181609756,0.037073171,0.037121951,-0.016731707,400.1,397.3,396.4,39,41,41,68,72,63,45,235.0,28,0,12726,0,0,-6430,0,12726,-6430,11.1,19
15,307.7,19.4,4.8,4.5,-0.5,26,36,66,35,34,44,41,33,37.0,43,43,44,1295.5,22,32,35,0.8,120.0,143.4,128.8,50.0,0.259804878,-0.259804878,0.067707317,0.062097561,-0.028243902,398.2,395.9,395.1,35,37,36,67,70,62,45,288.3,26,-386,21438,0,-285,-9294,0,21052,-9579,11.4,18
18,220.8,28.5,4.1,4.1,-0.1,28,38,95,40,38,48,45,44,44.0,61,60,61,1265.3,26,37,38,0.7,96.3,115.1,93.7,50.0,0.171414634,-0.171414634,0.041804878,0.039463415,-0.031414634,400.0,397.1,396.9,39,40,40,69,73,66,44,192.3,29,-175,13717,0,-187,-10559,0,13542,-10746,11.2,20
17,192.7,-2.0,3.9,4.0,0.3,28,38,94,39,38,47,44,44,44.0,60,59,60,1257.4,25,37,39,0.7,79.3,95.8,79.2,50.0,0.149463415,-0.149463415,0.035219512,0.032829268,-0.022146341,401.3,398.7,398.4,39,40,40,69,73,65,44,194.7,28,-261,11435,0,-317,-7236,0,11174,-7554,11.1,20
17,145.8,-47.8,4.5,4.6,-0.6,27,38,89,39,39,47,43,43,42.0,56,55,56,1270.2,25,36,39,0.7,132.0,164.2,136.7,50.0,0.283707317,-0.283707317,0.065121951,0.064585366,-0.046390244,402.3,399.5,398.9,39,41,40,69,72,65,44,193.7,28,0,22089,0,0,-15841,0,22089,-15841,11.2,19
17,140.1,-46.2,3.9,4.0,0.3,26,37,84,38,39,44,42,41,39.0,52,51,52,1252.9,24,35,39,0.7,90.2,113.9,88.3,50.0,0.178390244,-0.178390244,0.037609756,0.035463415,-0.035756098,400.8,398.0,397.3,39,41,41,68,72,64,43,186.3,27,-459,12533,0,-510,-11640,0,12074,-12150,11.1,19
17,239.9,57.5,5.3,5.3,-1.0,26,37,88,38,38,49,43,42,44.0,56,55,56,1344.4,25,35,38,0.8,236.1,268.5,239.7,50.0,0.36697561,-0.36697561,0.126341463,0.126243902,-0.057560976,400.8,397.8,397.8,39,40,40,68,72,65,43,182.4,27,0,43009,0,0,-19628,0,43009,-19628,11.9,19
17,138.8,-42.9,9.6,9.5,-0.8,26,41,105,41,39,60,51,62,70.0,98,93,95,1615.4,31,44,41,1.0,1160.5,1183.5,1145.9,50.0,0.419268293,-0.458585366,0.671902439,0.674292683,-0.10195122,401.1,398.2,401.2,43,45,44,90,95,88,46,181.8,31,0,230341,0,0,-34839,0,230341,-34839,14.3,19
15,215.9,-5.1,14.2,13.4,7.3,26,42,104,41,38,63,55,61,68.0,101,94,95,1676.6,34,43,43,1.0,1618.5,1659.3,1630.4,50.0,0.221512195,-0.31395122,0.951560976,0.952585366,-0.103414634,401.4,398.0,400.0,45,47,46,71,78,70,47,221.0,31,0,325318,0,0,-35321,0,325318,-35321,14.8,18
18,237.9,30.2,11.3,10.9,0.8,29,43,106,43,39,63,55,57,54.0,96,89,91,1670.4,35,44,43,1.0,1502.6,1539.7,1514.3,50.0,0.294926829,-0.385609756,0.873121951,0.877121951,-0.104097561,398.2,395.1,396.9,45,46,46,64,72,64,46,207.7,32,0,300016,0,0,-35569,0,300016,-35569,14.7,21
17,170.5,-12.6,7.8,7.9,-1.4,27,41,100,42,38,59,55,50,45.0,75,72,73,1505.4,28,42,40,1.0,744.1,787.2,770.5,49.9,0.457219512,-0.474097561,0.43302439,0.43497561,-0.091317073,398.4,395.7,395.7,41,43,42,63,73,69,45,183.2,30,0,149221,0,0,-31204,0,149221,-31204,13.3,19
15,203.2,26.3,5.3,5.6,-1.1,26,41,99,42,38,55,53,48,45.0,69,67,69,1327.7,26,41,39,0.8,267.9,298.4,268.9,49.9,0.42702439,-0.42702439,0.140439024,0.139756098,-0.074439024,399.4,396.7,396.9,39,41,40,66,75,71,44,176.9,29,0,47995,0,0,-25466,0,47995,-25466,11.7,18
15,210.4,21.6,8.6,8.8,4.3,26,40,97,40,38,56,53,47,43.0,67,65,66,1585.0,25,39,39,1.0,552.1,591.7,566.6,50.0,0.487804878,-0.487804878,0.565756098,0.326146341,-0.076439024,401.8,399.1,399.7,40,41,41,66,75,70,44,188.8,28,0,111494,0,0,-26105,0,111494,-26105,14.0,18
15,230.4,34.7,9.9,10.0,-0.7,26,39,99,40,39,59,55,48,43.0,77,72,74,1635.4,26,40,42,1.0,1295.1,1327.9,1303.6,50.0,0.364146341,-0.43195122,0.753365854,0.756926829,-0.10097561,399.6,396.8,398.6,44,46,45,68,76,72,45,195.8,28,0,258228,0,0,-34497,0,258228,-34497,14.4,18
14,231.5,45.9,4.5,5.0,-0.6,25,40,98,40,39,52,51,44,42.0,64,63,64,1280.0,24,39,39,0.7,192.2,213.5,182.1,50.0,0.366292683,-0.366292683,0.09102439,0.090536585,-0.064097561,401.1,398.4,399.0,40,41,41,70,77,72,44,185.6,28,0,30985,0,0,-21903,0,30985,-21903,11.3,17
15,275.5,82.9,5.5,5.6,-1.3,25,39,97,40,38,52,50,42,41.0,62,61,62,1328.1,24,38,39,0.8,266.2,293.3,262.4,50.0,0.458536585,-0.458536585,0.139804878,0.139219512,-0.073902439,398.9,396.3,396.9,39,41,40,69,77,71,43,192.6,28,0,47263,0,0,-25255,0,47263,-25255,11.7,17
15,159.4,-32.5,4.9,5.2,-0.8,25,38,96,39,38,51,48,40,39.0,59,59,60,1300.9,24,37,39,0.8,220.5,245.8,213.3,50.0,0.40595122,-0.40595122,0.109073171,0.109707317,-0.069463415,402.6,399.8,400.3,39,41,40,69,75,69,43,191.9,27,0,37423,0,0,-23763,0,37423,-23763,11.5,17
15,221.7,43.8,4.3,4.5,-0.3,25,38,95,38,38,48,46,39,38.0,57,56,57,1268.9,23,36,39,0.6,151.2,164.5,135.8,50.0,0.26195122,-0.26195122,0.06097561,0.060439024,-0.056097561,399.2,396.5,397.2,39,40,40,68,74,68,43,177.9,27,0,20456,0,0,-19116,0,20456,-19116,11.2,17
14,200.3,11.2,4.0,4.2,0.0,25,37,94,38,38,48,45,39,37.0,56,56,57,1264.9,23,36,39,0.6,127.8,135.7,113.1,50.0,0.186390244,-0.186390244,0.04395122,0.04102439,-0.050829268,399.7,397.2,397.8,39,40,40,68,73,67,42,189.1,26,-228,14285,0,-216,-17195,0,14057,-17411,11.2,17
14,217.6,40.1,7.8,7.6,-1.9,25,36,93,38,38,54,47,39,38.0,60,58,59,1535.7,24,36,39,1.0,656.0,683.1,656.7,50.0,0.486536585,-0.487804878,0.380780488,0.380780488,-0.076341463,400.0,397.6,399.0,40,42,41,68,73,67,42,177.5,26,0,129969,0,0,-26083,0,129969,-26083,13.6,17
17,203.7,-18.0,13.5,12.9,6.3,28,39,102,41,38,61,55,48,44.0,87,80,81,1680.4,28,43,43,1.0,1645.7,1682.1,1666.3,50.0,0.210585366,-0.303707317,0.963121951,0.965609756,-0.094341463,399.1,396.2,397.5,45,46,45,75,80,74,42,221.7,30,0,330005,0,0,-32235,0,330005,-32235,14.8,19
17,176.4,-36.6,12.6,12.4,4.8,28,40,106,42,39,63,55,50,46.0,96,87,89,1680.5,29,45,44,1.0,1670.3,1700.3,1681.5,50.0,0.201365854,-0.290682927,0.972341463,0.973853659,-0.106195122,398.1,395.3,397.0,46,47,46,78,83,78,43,213.0,31,0,332709,0,0,-36271,0,332709,-36271,14.8,20
19,185.2,-41.1,9.7,9.5,-1.0,33,42,108,42,39,62,54,66,63.0,106,100,103,1636.3,36,44,41,1.0,1149.8,1178.8,1150.3,50.0,0.415463415,-0.465268293,0.672634146,0.672487805,-0.103463415,401.5,399.1,400.8,43,45,44,75,82,75,48,226.3,33,0,229630,0,0,-35352,0,229630,-35352,14.4,26
18,211.7,-17.4,6.0,6.0,-1.6,33,43,104,44,38,57,51,62,73.0,87,85,87,1382.5,33,44,39,0.9,326.7,356.1,333.8,50.0,0.453219512,-0.453219512,0.183609756,0.184536585,-0.061853659,398.0,395.8,396.1,39,41,40,69,76,70,49,229.1,33,0,63277,0,0,-21145,0,63277,-21145,12.2,25
18,151.8,-77.6,6.0,5.9,-1.7,33,43,103,44,38,55,51,58,67.0,82,81,83,1360.4,32,43,39,0.9,294.1,324.1,302.7,50.0,0.470878049,-0.470878049,0.167414634,0.16697561,-0.059853659,396.8,394.9,395.0,39,41,40,68,75,68,49,229.4,33,0,56935,0,0,-20441,0,56935,-20441,12.0,24
18,42.7,-178.3,6.1,6.1,-1.7,32,43,102,44,38,55,51,55,61.0,77,76,78,1372.3,31,43,39,0.9,308.1,342.2,324.6,50.0,0.484292683,-0.484292683,0.180926829,0.18097561,-0.055365854,399.3,397.3,397.1,39,41,40,65,72,65,49,221.0,32,0,61849,0,0,-18913,0,61849,-18913,12.1,23
