,Unnamed: 0,asset_id,id,status_type_id,sensor_0_avg,sensor_1_avg,sensor_2_avg,Wind speed (m/s),wind_speed_4_avg,wind_speed_3_max,wind_speed_3_min,wind_speed_3_std,Pitch angle (°),sensor_5_max,sensor_5_min,sensor_5_std,sensor_6_avg,sensor_7_avg,sensor_8_avg,sensor_9_avg,sensor_10_avg,sensor_11_avg,sensor_12_avg,sensor_13_avg,sensor_14_avg,sensor_15_avg,sensor_16_avg,sensor_17_avg,sensor_18_avg,sensor_18_max,sensor_18_min,sensor_18_std,sensor_19_avg,sensor_20_avg,sensor_21_avg,sensor_22_avg,sensor_23_avg,sensor_24_avg,sensor_25_avg,sensor_26_avg,reactive_power_27_avg,reactive_power_27_max,reactive_power_27_min,reactive_power_27_std,reactive_power_28_avg,reactive_power_28_max,reactive_power_28_min,reactive_power_28_std,power_29_avg,power_29_max,power_29_min,power_29_std,power_30_avg,power_30_max,power_30_min,power_30_std,sensor_31_avg,sensor_31_max,sensor_31_min,sensor_31_std,sensor_32_avg,sensor_33_avg,sensor_34_avg,sensor_35_avg,sensor_36_avg,sensor_37_avg,sensor_38_avg,sensor_39_avg,sensor_40_avg,sensor_41_avg,sensor_42_avg,sensor_43_avg,sensor_44,sensor_45,sensor_46,sensor_47,sensor_48,sensor_49,Power (kW),sensor_51,Rotor speed (RPM),sensor_52_max,sensor_52_min,sensor_52_std,sensor_53_avg
10,330,10,330,0,19,130.4,5.7,9.8,9.2,21.3,1.4,2.0,-1.3,1.7,-2.5,1.0,28,41,99,43,38,61,54,56,74.0,81,77,78,1652.7,1700.5,1456.9,34.3,31,43,41,1.0,1096.5,1120.3,1099.6,50.0,0.443073171,0.487804878,0.198097561,0.074780488,-0.479707317,-0.284536585,-0.487804878,0.033463415,0.63595122,0.975609756,0.29404878,0.157317073,0.636829268,1.004146341,0.304390244,0.156878049,-0.092682927,-185.0,-201.2,3.4,398.3,395.9,397.5,43,44,43,74,78,72,46,124.6,31,0,217522,0,0,-31663,0,217522,-31663,14.6,15.0,12.8,0.3,21
11,332,10,332,0,19,90.0,-25.8,9.1,8.8,19.0,1.7,1.6,-1.8,1.0,-2.4,0.7,29,41,101,44,39,60,53,58,75.0,81,78,80,1648.8,1701.0,1548.9,28.2,31,44,41,1.0,966.8,987.2,961.4,50.0,0.471804878,0.487804878,0.219560976,0.045219512,-0.48595122,-0.325414634,-0.487804878,0.014097561,0.561804878,0.954146341,0.258585366,0.130829268,0.560341463,0.943609756,0.263658537,0.131463415,-0.089756098,-170.6,-195.5,5.5,399.3,397.0,398.9,42,44,43,76,80,73,46,115.9,32,0,191093,0,0,-30656,0,191093,-30656,14.6,15.0,13.7,0.2,22
12,335,10,335,0,20,107.7,-16.9,7.8,7.7,20.0,0.9,1.8,-2.0,-0.9,-2.4,0.3,29,42,100,43,39,59,51,59,75.0,81,79,81,1556.1,1692.1,1300.1,82.1,33,42,40,1.0,682.4,692.3,665.4,50.0,0.484439024,0.487804878,0.339268293,0.018195122,-0.487804878,-0.487804878,-0.487804878,0.0,0.386439024,0.834341463,0.164195122,0.131121951,0.386439024,0.810829268,0.170390244,0.130195122,-0.095560976,-182.7,-204.6,5.2,400.2,398.1,400.2,41,43,42,78,82,76,46,124.6,33,0,131741,0,0,-32641,0,131741,-32641,13.7,14.9,11.5,0.7,23
13,341,10,341,0,20,122.6,3.6,8.6,8.1,20.9,0.7,2.1,-1.8,0.4,-2.4,0.6,31,42,105,41,38,60,52,62,79.0,93,90,92,1589.2,1685.3,1337.4,81.8,34,42,40,1.0,798.4,813.5,784.4,50.0,0.478634146,0.487804878,0.198097561,0.037804878,-0.485512195,-0.284536585,-0.487804878,0.01804878,0.46097561,0.975609756,0.170926829,0.165707317,0.458731707,0.963073171,0.18795122,0.163609756,-0.094634146,-185.9,-202.5,3.3,401.2,398.9,401.1,41,43,42,86,89,83,46,119.0,33,0,155879,0,0,-32338,0,155879,-32338,14.0,14.9,11.7,0.7,24
14,350,10,350,0,21,139.2,23.0,10.1,9.7,24.5,1.6,2.5,-0.6,7.6,-2.4,2.1,33,43,112,44,39,64,55,67,86.0,113,107,109,1639.2,1727.6,1486.1,48.3,40,47,42,1.0,1193.5,1212.4,1181.6,50.0,0.396731707,0.487804878,0.198097561,0.117219512,-0.443512195,-0.284536585,-0.487804878,0.079804878,0.692731707,0.975609756,0.314536585,0.202780488,0.695268293,1.02497561,0.331512195,0.204243902,-0.103658537,-204.7,-217.6,2.8,401.9,399.4,401.9,44,45,44,89,94,85,49,116.2,34,0,237683,0,0,-35466,0,237683,-35466,14.5,15.3,13.1,0.4,26
15,354,10,354,0,21,116.0,-3.7,11.0,10.3,24.2,1.6,2.6,0.2,6.2,-2.4,2.2,34,44,113,45,39,64,56,70,87.0,115,109,113,1660.1,1725.9,1560.6,27.2,41,47,43,1.0,1361.7,1382.4,1354.8,50.0,0.345560976,0.487804878,0.198097561,0.124536585,-0.413121951,-0.284536585,-0.487804878,0.090780488,0.792829268,0.975609756,0.372926829,0.171658537,0.794780488,1.025365854,0.388780488,0.175902439,-0.103707317,-206.7,-217.6,2.3,401.1,398.6,400.9,45,46,45,86,91,84,50,119.7,34,0,272148,0,0,-35433,0,272148,-35433,14.7,15.2,13.9,0.2,26
16,357,10,357,0,21,112.7,6.3,11.7,11.1,21.5,2.5,2.6,1.7,9.8,-2.5,3.2,34,45,115,45,42,65,56,72,89.0,122,114,117,1670.5,1764.5,1578.0,27.8,42,48,46,1.0,1480.7,1502.6,1472.7,50.0,0.301658537,0.487804878,0.198097561,0.111365854,-0.388585366,-0.284536585,-0.487804878,0.096487805,0.864195122,0.975609756,0.469121951,0.127121951,0.867268293,1.027317073,0.487707317,0.128780488,-0.104097561,-207.6,-218.2,2.5,402.1,399.5,402.0,48,49,48,85,91,84,51,106.4,36,0,296864,0,0,-35556,0,296864,-35556,14.7,15.6,13.9,0.2,27
17,359,10,359,0,21,106.1,-6.2,11.4,10.8,21.6,2.5,2.3,0.8,6.4,-2.4,2.2,34,45,114,45,41,64,53,75,89.0,120,114,118,1669.2,1759.2,1567.1,28.2,42,48,44,1.0,1489.6,1509.3,1478.1,50.0,0.296926829,0.487804878,0.198097561,0.113658537,-0.382243902,-0.284536585,-0.487804878,0.093268293,0.863121951,0.975609756,0.449268293,0.140341463,0.867365854,1.02595122,0.457512195,0.144195122,-0.102780488,-204.3,-214.7,2.2,400.2,397.5,400.3,46,48,47,85,91,84,51,112.4,37,0,295942,0,0,-35117,0,295942,-35117,14.7,15.5,13.9,0.2,27
18,361,10,361,0,21,113.0,9.0,12.3,11.7,20.2,2.1,2.7,3.2,9.5,-2.4,3.8,34,46,117,45,43,64,53,75,90.0,126,118,121,1671.9,1776.4,1597.1,25.8,43,49,46,1.0,1544.1,1561.8,1532.1,50.0,0.265463415,0.487804878,0.198097561,0.102,-0.353365854,-0.284536585,-0.487804878,0.092292683,0.900195122,0.975609756,0.411853659,0.123121951,0.902829268,1.025073171,0.433414634,0.124146341,-0.10497561,-210.4,-217.7,1.7,401.8,399.3,402.0,48,50,49,85,91,86,51,103.9,38,0,308598,0,0,-35857,0,308598,-35857,14.8,15.6,14.1,0.2,27
19,371,10,371,0,22,127.1,11.2,9.4,8.8,20.6,2.7,2.0,-1.6,0.8,-2.5,0.8,34,47,113,45,38,63,56,76,90.0,114,109,111,1635.9,1710.2,1493.2,38.9,41,46,40,1.0,986.1,1005.3,973.1,50.0,0.481902439,0.487804878,0.238536585,0.026146341,-0.487365854,-0.361512195,-0.487804878,0.006097561,0.570682927,0.935170732,0.277512195,0.10595122,0.570439024,0.929609756,0.294926829,0.105512195,-0.099073171,-194.9,-211.5,3.8,400.4,398.0,400.4,41,43,42,82,89,83,52,115.9,37,0,195365,0,0,-33843,0,195365,-33843,14.4,15.1,13.2,0.3,26
20,376,10,376,0,22,106.3,0.9,8.7,8.6,19.8,1.7,1.8,-1.9,0.9,-2.4,0.6,34,45,108,43,39,61,53,73,86.0,106,102,104,1618.2,1689.1,1462.8,50.1,40,44,40,1.0,910.0,926.5,896.7,50.0,0.475170732,0.487804878,0.293219512,0.036243902,-0.487756098,-0.465756098,-0.487804878,0.000682927,0.526439024,0.880439024,0.265073171,0.131463415,0.527609756,0.865902439,0.275317073,0.131121951,-0.095414634,-186.2,-208.3,4.5,402.1,400.1,402.2,42,43,43,78,85,79,51,105.3,36,0,180166,0,0,-32593,0,180166,-32593,14.3,14.9,12.9,0.4,26
21,377,10,377,0,22,95.6,-15.6,9.2,8.8,18.2,2.7,2.1,-1.5,0.9,-2.4,0.8,34,45,107,43,37,62,55,72,86.0,104,100,102,1619.9,1703.6,1337.4,79.1,40,43,40,1.0,983.5,1000.4,970.4,50.0,0.454878049,0.487804878,0.201853659,0.067219512,-0.481707317,-0.291707317,-0.487804878,0.02595122,0.569317073,0.971853659,0.174195122,0.194585366,0.570146341,0.965609756,0.186585366,0.194097561,-0.09502439,-186.7,-199.5,3.1,401.5,399.4,401.6,41,43,42,78,84,78,51,111.3,36,0,194976,0,0,-32442,0,194976,-32442,14.3,15.0,11.8,0.7,25
22,378,10,378,0,22,141.2,30.6,8.4,8.1,14.7,2.1,1.9,-1.9,0.0,-2.8,0.5,33,45,105,43,39,62,56,71,85.0,100,97,99,1583.7,1695.0,1337.3,96.5,39,43,40,1.0,806.7,824.0,792.8,50.0,0.47804878,0.487804878,0.319804878,0.025365854,-0.487804878,-0.487804878,-0.487804878,0.0,0.46395122,0.853853659,0.136439024,0.186195122,0.464926829,0.840341463,0.141756098,0.186243902,-0.093365854,-183.3,-202.2,4.2,401.8,399.7,401.8,42,43,43,77,84,77,51,110.6,36,0,158735,0,0,-31902,0,158735,-31902,14.0,15.0,11.8,0.8,25
23,380,10,380,0,22,107.5,-8.3,8.5,8.1,16.4,2.0,1.5,-2.0,-1.1,-2.4,0.3,33,44,103,42,39,62,56,69,83.0,94,92,94,1618.0,1691.2,1407.9,58.9,39,41,40,1.0,792.3,812.3,778.7,50.0,0.487512195,0.487804878,0.445219512,0.00297561,-0.487804878,-0.487804878,-0.487804878,0.0,0.454439024,0.728341463,0.212829268,0.107707317,0.454341463,0.724195122,0.222243902,0.107512195,-0.094878049,-184.6,-205.5,4.8,399.5,397.2,399.3,41,43,42,75,82,75,51,115.9,36,0,155455,0,0,-32406,0,155455,-32406,14.3,14.9,12.4,0.5,25
24,381,10,381,0,21,105.5,-10.3,8.8,8.3,14.3,1.7,1.4,-2.1,0.0,-3.0,0.3,33,44,103,42,38,61,52,69,82.0,94,91,93,1638.1,1687.7,1406.9,46.0,38,42,40,1.0,854.6,876.3,844.3,50.0,0.487268293,0.487804878,0.432439024,0.004439024,-0.487804878,-0.487804878,-0.487804878,0.0,0.491317073,0.741170732,0.177365854,0.094829268,0.491804878,0.735073171,0.181219512,0.094780488,-0.093365854,-180.6,-201.5,4.3,398.9,396.5,398.6,41,43,42,74,81,74,50,115.8,35,0,168265,0,0,-31951,0,168265,-31951,14.5,14.9,12.4,0.4,25
25,382,10,382,0,21,103.2,-3.5,7.5,7.2,18.7,1.8,1.8,-2.0,-0.8,-2.4,0.4,33,44,104,43,38,60,53,67,81.0,91,88,90,1513.0,1680.3,1260.2,133.7,37,43,39,0.9,585.1,603.2,571.5,50.0,0.487707317,0.487804878,0.453463415,0.001365854,-0.487707317,-0.453463415,-0.487804878,0.001365854,0.330390244,0.618585366,0.092536585,0.135219512,0.330195122,0.605902439,0.095317073,0.134731707,-0.092439024,-180.1,-205.7,5.1,401.5,399.2,401.0,40,42,41,73,80,73,50,106.8,35,0,112779,0,0,-31589,0,112779,-31589,13.4,14.8,11.1,1.2,24
26,383,10,383,0,21,113.2,-5.4,8.9,8.4,15.3,1.5,1.7,-1.9,-0.1,-2.4,0.4,33,44,104,44,38,60,55,67,80.0,90,88,89,1628.5,1689.8,1421.1,62.6,38,44,40,1.0,855.3,877.9,847.6,50.0,0.487560976,0.487804878,0.458878049,0.002097561,-0.487804878,-0.487804878,-0.487804878,0.0,0.495756098,0.714682927,0.200487805,0.108682927,0.495463415,0.710487805,0.209268293,0.108390244,-0.09502439,-184.6,-205.2,4.8,401.2,399.0,400.8,41,43,42,72,78,72,50,118.6,35,0,169330,0,0,-32466,0,169330,-32466,14.4,14.9,12.6,0.6,24
27,384,10,384,0,21,123.2,14.7,7.5,7.3,17.3,1.0,2.1,-1.8,0.1,-2.8,0.5,33,45,104,45,38,61,56,66,79.0,89,86,88,1504.8,1702.5,1265.7,126.6,37,45,39,0.9,607.3,626.8,595.6,50.0,0.487268293,0.487804878,0.423170732,0.004878049,-0.487804878,-0.487804878,-0.487804878,0.0,0.341512195,0.750390244,0.10297561,0.148829268,0.34097561,0.74204878,0.11404878,0.14897561,-0.093219512,-180.5,-201.7,4.7,397.9,395.5,397.3,40,41,41,71,78,71,50,108.5,35,0,116378,0,0,-31850,0,116378,-31850,13.3,15.0,11.2,1.1,24
28,390,10,390,0,19,94.6,-9.3,10.7,10.3,23.3,1.6,2.3,-0.2,5.9,-2.3,1.7,32,44,105,43,40,62,52,65,80.0,98,93,95,1655.2,1744.1,1395.7,57.6,38,44,44,1.0,1390.0,1415.4,1387.7,50.0,0.323658537,0.487804878,0.198097561,0.111317073,-0.411365854,-0.284536585,-0.487804878,0.08897561,0.807268293,0.975609756,0.224439024,0.195853659,0.80902439,1.026146341,0.231121951,0.198097561,-0.10195122,-198.3,-223.5,6.2,399.3,396.6,398.7,45,47,46,71,78,72,49,103.9,34,0,275573,0,0,-34809,0,275573,-34809,14.6,15.4,12.3,0.5,23
29,392,10,392,0,19,84.1,-21.6,11.6,10.8,20.8,3.4,2.1,0.7,6.2,-2.4,1.7,31,44,108,43,40,63,51,65,82.0,107,101,103,1673.2,1742.5,1559.6,22.5,39,44,44,1.0,1510.3,1538.9,1512.3,50.0,0.283560976,0.487804878,0.198097561,0.089414634,-0.391463415,-0.284536585,-0.487804878,0.089658537,0.881658537,0.975609756,0.412731707,0.113414634,0.883804878,1.025658537,0.433512195,0.116146341,-0.09502439,-140.4,-219.4,24.0,400.3,397.5,399.5,46,47,46,73,80,74,49,105.7,35,0,302077,0,0,-32520,0,302077,-32520,14.8,15.3,13.8,0.2,23
30,399,10,399,0,18,91.0,-14.3,8.6,8.1,13.9,2.6,1.2,-2.2,-1.7,-2.4,0.1,30,43,107,43,38,61,56,66,82.0,95,92,94,1640.1,1677.2,1505.9,26.3,37,44,40,1.0,769.2,801.7,774.4,50.0,0.487804878,0.487804878,0.487804878,0.0,-0.487804878,-0.487804878,-0.487804878,0.0,0.450536585,0.675658537,0.325219512,0.055317073,0.449902439,0.663268293,0.335804878,0.053902439,-0.080731707,-158.4,-174.2,3.4,399.9,397.5,398.9,41,42,42,72,79,74,48,105.3,34,0,153490,0,0,-27576,0,153490,-27576,14.5,14.8,13.3,0.2,21
31,400,10,400,0,18,104.6,-0.7,9.3,8.6,16.6,2.2,1.5,-1.9,-0.7,-2.5,0.4,30,43,106,44,38,61,57,65,82.0,93,90,92,1654.5,1687.4,1585.6,16.0,36,45,40,1.0,926.1,957.0,933.0,50.0,0.486536585,0.487804878,0.425707317,0.006731707,-0.487804878,-0.487804878,-0.487804878,0.0,0.541219512,0.747902439,0.37502439,0.075512195,0.541365854,0.738390244,0.381073171,0.074682927,-0.080536585,-155.5,-174.2,4.2,398.8,396.4,397.7,42,43,43,71,78,72,48,105.3,34,0,184933,0,0,-27513,0,184933,-27513,14.6,14.9,14.0,0.1,21
32,401,10,401,0,18,78.2,-27.1,10.0,9.4,17.2,1.4,1.6,-1.4,-0.2,-2.4,0.4,29,44,105,44,38,62,53,65,81.0,96,92,93,1668.0,1688.7,1636.0,8.7,37,44,41,1.0,1144.5,1176.7,1153.5,50.0,0.473560976,0.487804878,0.357853659,0.024146341,-0.487804878,-0.487804878,-0.487804878,0.0,0.670487805,0.815756098,0.537073171,0.050536585,0.671219512,0.808,0.545756098,0.05004878,-0.085804878,-167.5,-186.1,3.9,399.9,397.1,398.6,43,44,44,70,78,72,48,105.3,34,0,229434,0,0,-29307,0,229434,-29307,14.7,14.9,14.4,0.1,21
33,404,10,404,0,18,83.3,-14.4,9.5,9.1,14.4,3.4,1.2,-1.8,-0.4,-2.5,0.3,29,43,106,43,38,62,56,64,81.0,94,91,93,1669.2,1687.4,1649.9,7.2,36,44,41,1.0,1050.3,1081.6,1058.0,50.0,0.484292683,0.487804878,0.408,0.012097561,-0.487804878,-0.487804878,-0.487804878,0.0,0.615365854,0.765609756,0.485268293,0.054878049,0.615268293,0.756926829,0.495268293,0.054292683,-0.084097561,-166.6,-177.4,2.3,399.7,397.2,398.3,42,44,43,69,77,72,48,97.6,33,0,210713,0,0,-28787,0,210713,-28787,14.7,14.9,14.5,0.1,20
34,405,10,405,0,18,94.3,-3.3,7.3,7.2,12.1,3.3,1.3,-2.1,0.3,-2.6,0.2,29,43,107,44,38,61,56,63,80.0,90,87,89,1522.3,1680.8,1300.2,112.7,35,45,39,1.0,556.2,583.9,555.1,50.0,0.487804878,0.487804878,0.487804878,0.0,-0.487804878,-0.487804878,-0.487804878,0.0,0.320780488,0.56102439,0.139414634,0.113707317,0.321365854,0.556634146,0.142195122,0.113560976,-0.078146341,-145.4,-170.6,7.4,400.9,398.3,399.6,40,42,41,69,76,71,48,97.6,34,0,110059,0,0,-26708,0,110059,-26708,13.4,14.8,11.5,1.0,20
35,414,10,414,0,18,107.4,9.7,9.7,8.8,17.7,2.4,1.4,-1.7,-0.1,-2.7,0.3,27,43,102,43,39,61,53,58,74.0,80,77,78,1665.0,1688.7,1638.5,8.7,34,43,41,1.0,985.2,1020.8,999.7,50.0,0.487804878,0.487804878,0.487804878,0.0,-0.487804878,-0.487804878,-0.487804878,0.0,0.574829268,0.674731707,0.452,0.039804878,0.574682927,0.670536585,0.460682927,0.039073171,-0.087658537,-169.7,-191.1,4.6,397.2,394.6,395.5,42,44,43,62,69,63,46,97.6,33,0,196328,0,0,-29940,0,196328,-29940,14.7,14.9,14.5,0.1,19
36,431,10,431,0,18,94.7,-1.1,10.1,9.4,15.9,2.8,1.4,-1.3,0.7,-2.1,0.5,27,43,105,42,38,61,55,62,79.0,94,90,91,1672.1,1692.1,1646.4,7.2,36,42,41,1.0,1147.8,1186.0,1164.8,50.0,0.471170732,0.487804878,0.28897561,0.031707317,-0.487756098,-0.457707317,-0.487804878,0.001073171,0.678585366,0.884682927,0.556878049,0.052390244,0.678439024,0.87204878,0.574926829,0.051609756,-0.090439024,-177.4,-193.1,3.7,401.9,399.2,400.0,43,44,44,65,73,68,46,95.9,33,0,232219,0,0,-30938,0,232219,-30938,14.8,14.9,14.5,0.1,19
37,433,10,433,0,17,93.6,-2.3,8.7,8.3,14.5,3.3,1.2,-2.1,-1.3,-2.4,0.2,27,42,107,43,39,61,57,62,78.0,90,86,88,1645.6,1686.0,1526.8,29.8,35,44,41,1.0,806.3,843.3,822.9,50.0,0.487658537,0.487804878,0.451170732,0.002,-0.487804878,-0.487804878,-0.487804878,0.0,0.476926829,0.722390244,0.326780488,0.075658537,0.477121951,0.716195122,0.344390244,0.076487805,-0.076731707,-147.0,-172.4,6.0,401.3,399.1,399.6,42,43,43,65,73,68,46,95.9,33,0,163383,0,0,-26221,0,163383,-26221,14.5,14.9,13.5,0.3,19
38,434,10,434,0,17,93.4,-2.4,8.6,8.1,14.4,3.1,1.1,-2.2,-1.7,-2.4,0.1,27,43,106,43,38,61,57,61,78.0,87,84,86,1650.4,1677.4,1576.4,17.5,35,44,40,1.0,772.9,810.3,788.7,50.0,0.487804878,0.487804878,0.487804878,0.0,-0.487804878,-0.487804878,-0.487804878,0.0,0.456097561,0.647560976,0.313414634,0.066243902,0.456341463,0.640487805,0.320292683,0.066097561,-0.075512195,-146.8,-163.4,3.9,400.4,397.9,398.7,41,42,42,64,72,67,46,95.9,33,0,155813,0,0,-25787,0,155813,-25787,14.6,14.8,13.9,0.2,19
